,시도명,시군구명,년,월,구분,count,mean,거래날짜,타입
313,경기도,안산시 상록구,2021,03,전세,298,20709,2021-03-01,apt
314,경기도,안산시 상록구,2021,04,월세,42,3697,2021-04-01,apt
315,경기도,안산시 상록구,2021,04,전세,214,21374,2021-04-01,apt
316,경기도,안산시 상록구,2021,05,월세,48,5443,2021-05-01,apt
317,경기도,안산시 상록구,2021,05,전세,199,24274,2021-05-01,apt
318,경기도,안산시 상록구,2021,06,월세,77,4638,2021-06-01,apt
319,경기도,안산시 상록구,2021,06,전세,246,23733,2021-06-01,apt
320,경기도,안산시 상록구,2021,07,월세,98,4458,2021-07-01,apt
321,경기도,안산시 상록구,2021,07,전세,231,24233,2021-07-01,apt
322,경기도,안성시,2021,01,월세,115,2061,2021-01-01,apt
323,경기도,안성시,2021,01,전세,181,13066,2021-01-01,apt
324,경기도,안성시,2021,02,월세,118,2156,2021-02-01,apt
325,경기도,안성시,2021,02,전세,163,11687,2021-02-01,apt
326,경기도,안성시,2021,03,월세,126,3012,2021-03-01,apt
327,경기도,안성시,2021,03,전세,214,12363,2021-03-01,apt
328,경기도,안성시,2021,04,월세,80,1687,2021-04-01,apt
329,경기도,안성시,2021,04,전세,207,12173,2021-04-01,apt
330,경기도,안성시,2021,05,월세,314,2119,2021-05-01,apt
331,경기도,안성시,2021,05,전세,238,12405,2021-05-01,apt
332,경기도,안성시,2021,06,월세,187,4499,2021-06-01,apt
333,경기도,안성시,2021,06,전세,282,12181,2021-06-01,apt
334,경기도,안성시,2021,07,월세,208,4423,2021-07-01,apt
335,경기도,안성시,2021,07,전세,268,13793,2021-07-01,apt
336,경기도,안양시 동안구,2021,01,월세,292,9598,2021-01-01,apt
337,경기도,안양시 동안구,2021,01,전세,612,35066,2021-01-01,apt
338,경기도,안양시 동안구,2021,02,월세,142,12894,2021-02-01,apt
339,경기도,안양시 동안구,2021,02,전세,607,34863,2021-02-01,apt
340,경기도,안양시 동안구,2021,03,월세,189,9311,2021-03-01,apt
341,경기도,안양시 동안구,2021,03,전세,766,35774,2021-03-01,apt
342,경기도,안양시 동안구,2021,04,월세,191,10203,2021-04-01,apt
343,경기도,안양시 동안구,2021,04,전세,629,36331,2021-04-01,apt
344,경기도,안양시 동안구,2021,05,월세,206,11067,2021-05-01,apt
345,경기도,안양시 동안구,2021,05,전세,612,35454,2021-05-01,apt
346,경기도,안양시 동안구,2021,06,월세,226,10531,2021-06-01,apt
347,경기도,안양시 동안구,2021,06,전세,637,37840,2021-06-01,apt
348,경기도,안양시 동안구,2021,07,월세,224,10215,2021-07-01,apt
349,경기도,안양시 동안구,2021,07,전세,666,36261,2021-07-01,apt
350,경기도,안양시 만안구,2021,01,월세,86,5998,2021-01-01,apt
351,경기도,안양시 만안구,2021,01,전세,212,35235,2021-01-01,apt
352,경기도,안양시 만안구,2021,02,월세,77,8120,2021-02-01,apt
353,경기도,안양시 만안구,2021,02,전세,210,33704,2021-02-01,apt
354,경기도,안양시 만안구,2021,03,월세,90,9543,2021-03-01,apt
355,경기도,안양시 만안구,2021,03,전세,261,33272,2021-03-01,apt
356,경기도,안양시 만안구,2021,04,월세,70,8918,2021-04-01,apt
357,경기도,안양시 만안구,2021,04,전세,231,35639,2021-04-01,apt
358,경기도,안양시 만안구,2021,05,월세,73,8260,2021-05-01,apt
359,경기도,안양시 만안구,2021,05,전세,207,33965,2021-05-01,apt
360,경기도,안양시 만안구,2021,06,월세,100,9657,2021-06-01,apt
361,경기도,안양시 만안구,2021,06,전세,363,33468,2021-06-01,apt
362,경기도,안양시 만안구,2021,07,월세,102,11366,2021-07-01,apt
363,경기도,안양시 만안구,2021,07,전세,264,35807,2021-07-01,apt
364,경기도,양주시,2021,01,월세,320,3437,2021-01-01,apt
365,경기도,양주시,2021,01,전세,273,18707,2021-01-01,apt
366,경기도,양주시,2021,02,월세,597,7755,2021-02-01,apt
367,경기도,양주시,2021,02,전세,256,19095,2021-02-01,apt
368,경기도,양주시,2021,03,월세,230,5323,2021-03-01,apt
369,경기도,양주시,2021,03,전세,275,20336,2021-03-01,apt
370,경기도,양주시,2021,04,월세,184,3827,2021-04-01,apt
371,경기도,양주시,2021,04,전세,260,19738,2021-04-01,apt
372,경기도,양주시,2021,05,월세,137,4341,2021-05-01,apt
373,경기도,양주시,2021,05,전세,282,19788,2021-05-01,apt
374,경기도,양주시,2021,06,월세,202,5335,2021-06-01,apt
375,경기도,양주시,2021,06,전세,278,19590,2021-06-01,apt
376,경기도,양주시,2021,07,월세,169,4222,2021-07-01,apt
377,경기도,양주시,2021,07,전세,274,21207,2021-07-01,apt
378,경기도,양평군,2021,01,월세,10,4790,2021-01-01,apt
379,경기도,양평군,2021,01,전세,19,20160,2021-01-01,apt
380,경기도,양평군,2021,02,월세,7,2642,2021-02-01,apt
381,경기도,양평군,2021,02,전세,24,23497,2021-02-01,apt
382,경기도,양평군,2021,03,월세,3,10100,2021-03-01,apt
383,경기도,양평군,2021,03,전세,31,22551,2021-03-01,apt
384,경기도,양평군,2021,04,월세,6,3416,2021-04-01,apt
385,경기도,양평군,2021,04,전세,19,26052,2021-04-01,apt
386,경기도,양평군,2021,05,월세,14,2821,2021-05-01,apt
387,경기도,양평군,2021,05,전세,27,22974,2021-05-01,apt
388,경기도,양평군,2021,06,월세,14,5285,2021-06-01,apt
389,경기도,양평군,2021,06,전세,41,24020,2021-06-01,apt
390,경기도,양평군,2021,07,월세,16,4156,2021-07-01,apt
